word,n
president,56
people,48
donald,32
trump,31
american,27
united,21
plan,20
understand,19
care,14
talk,14
time,14
america,11
country,11
vice,11
world,11
tax,10
military,9
security,9
act,8
economy,8
election,8
families,8
national,8
stand,8
abortion,7
affordable,7
americans,7
businesses,7
importance,7
support,7
tonight,7
trump's,7
america's,6
bill,6
body,6
health,6
hear,6
home,6
law,6
leader,6
middle,6
page,6
remember,6
times,6
women,6
ability,5
absolutely,5
afford,5
aspirations,5
calling,5
class,5
court,5
day,5
dreams,5
fracking,5
including,5
intend,5
israel,5
million,5
respect,5
respond,5
term,5
terms,5
true,5
ukraine,5
values,5
war,5
address,4
buy,4
called,4
children,4
clean,4
cost,4
criminal,4
deal,4
deeply,4
democracy,4
deserve,4
energy,4
ensuring,4
focusing,4
government,4
guns,4
increase,4
investing,4
invite,4
issue,4
jobs,4
knowing,4
leaders,4
left,4
lies,4
manufacturing,4
protecting,4
race,4
raised,4
standing,4
stop,4
taliban,4
understanding,4
understands,4
woman,4
zelenskyy,4
20,3
2025,3
allies,3
approach,3
ban,3
bans,3
based,3
biden,3
black,3
border,3
bring,3
bringing,3
build,3
bunch,3
call,3
capitol,3
career,3
century,3
chart,3
chief,3
china,3
coming,3
common,3
congress,3
consistently,3
constantly,3
covid,3
david,3
debate,3
decisions,3
defend,3
defense,3
deficit,3
denied,3
deny,3
divide,3
economic,3
endorsement,3
enforcement,3
extreme,3
folks,3
foreign,3
forward,3
future,3
hand,3
happened,3
happening,3
hard,3
history,3
homes,3
housing,3
includes,3
insurance,3
invited,3
joe,3
john,3
life,3
lifting,3
love,3
mccain,3
means,3
medicare,3
met,3
mother,3
oil,3
opportunity,3
palestinians,3
past,3
paying,3
person,3
plans,3
pledge,3
pregnancy,3
project,3
protections,3
proud,3
putin,3
rallies,3
relates,3
rely,3
result,3
rid,3
rightly,3
roe,3
senate,3
senator,3
seniors,3
separates,3
sitting,3
solution,3
stage,3
stands,3
strength,3
strengthen,3
survivor,3
taking,3
tired,3
wade,3
watching,3
weak,3
worst,3
xi,3
3,2
"50,000",2
"6,000",2
60,2
6th,2
"800,000",2
ad,2
adviser,2
agents,2
allowed,2
ambition,2
ambitions,2
answer,2
attack,2
auto,2
barely,2
beating,2
billionaires,2
boys,2
brings,2
business,2
camp,2
cancer,2
candidate,2
capped,2
car,2
carry,2
carrying,2
change,2
changed,2
cheney,2
child,2
child's,2
clock,2
commander,2
constitution,2
conversation,2
create,2
crime,2
crimes,2
cut,2
dangerous,2
days,2
decision,2
deduction,2
dictator,2
dictators,2
disgrace,2
disparaged,2
domestic,2
dream,2
drug,2
drugs,2
economists,2
elected,2
enemies,2
execution,2
favor,2
fentanyl,2
fixing,2
flattery,2
focus,2
focused,2
force,2
forget,2
free,2
freedom,2
freedoms,2
friend,2
giving,2
hate,2
hopes,2
hours,2
house,2
human,2
ideas,2
imagine,2
incest,2
individual,2
inflation,2
innocent,2
international,2
invest,2
invested,2
iran,2
israeli,2
issues,2
january,2
kid,2
kyiv,2
land,2
largest,2
late,2
lost,2
lot,2
majority,2
measure,2
meet,2
mob,2
month,2
move,2
nation's,2
nato,2
negotiate,2
negotiated,2
norms,2
offering,2
openly,2
opponent,2
organization,2
organizations,2
outcome,2
owned,2
payment,2
pennsylvania,2
playbook,2
poland,2
policy,2
position,2
prices,2
private,2
production,2
prosecuted,2
prosecutor,2
provide,2
pursue,2
putting,2
question,2
raise,2
reality,2
reason,2
respecting,2
responsibility,2
rhetoric,2
rights,2
role,2
rule,2
rules,2
run,2
running,2
russia,2
sales,2
school,2
shortage,2
sign,2
significance,2
start,2
started,2
supported,2
supreme,2
talked,2
terminate,2
territorial,2
terrorist,2
terrorists,2
trade,2
trafficking,2
transnational,2
travel,2
trillion,2
upholding,2
veto,2
victim,2
violent,2
vote,2
white,2
workers,2
wrong,2
zone,2
"1,200",1
"1,500",1
10,1
12,1
13,1
140,1
"2,000",1
200,1
2020,1
2024,1
21st,1
24,1
"25,000",1
300,1
34,1
35,1
"4,000",1
400,1
"45,000",1
5,1
"5,000",1
50,1
7,1
81,1
a.i,1
abandon,1
abrams,1
access,1
acting,1
active,1
addressed,1
addresses,1
administration,1
admires,1
adore,1
affect,1
affected,1
afghan,1
afghanistan,1
afraid,1
agenda,1
agree,1
agreed,1
air,1
alliance,1
alliances,1
allowing,1
ammunition,1
antisemitic,1
anybody's,1
appearance,1
arraigned,1
artillery,1
assault,1
assaulted,1
assistance,1
assure,1
asthma,1
attacking,1
attempt,1
attempted,1
attempts,1
attend,1
attending,1
attorney,1
audible,1
autocrats,1
automobiles,1
backbone,1
backward,1
backwards,1
ballot,1
bankruptcy,1
banned,1
basically,1
beginning,1
behalf,1
beliefs,1
believes,1
belittling,1
benefit,1
biden's,1
birther,1
bleeding,1
bloodbath,1
blue,1
boredom,1
boundaries,1
break,1
breaking,1
breaks,1
breast,1
bridge,1
briefly,1
brilliant,1
brought,1
builders,1
building,1
buildings,1
bush,1
buyers,1
bypassed,1
calls,1
campaign,1
cares,1
caring,1
caught,1
cease,1
central,1
chaos,1
characters,1
charlottesville,1
childcare,1
chips,1
choice,1
civil,1
client,1
climate,1
closing,1
clothes,1
color,1
combat,1
companies,1
company,1
compare,1
competition,1
computing,1
concert,1
conditions,1
confused,1
congressmember,1
conservative,1
contempt,1
context,1
continue,1
continuous,1
corporations,1
countries,1
counts,1
couples,1
created,1
credit,1
crib,1
critical,1
cuts,1
d.a,1
dealmaker,1
deals,1
defending,1
defunding,1
defy,1
demeaned,1
democrat,1
department,1
dependent,1
depression,1
describe,1
desecrate,1
desires,1
detailed,1
details,1
determination,1
development,1
diabetes,1
dick,1
died,1
difficult,1
dignity,1
diplomacy,1
directly,1
discourse,1
discuss,1
disdain,1
disparaging,1
