word,n
people,79
country,55
president,28
world,21
war,15
bad,14
happened,14
lot,14
millions,14
biden,13
countries,13
economy,13
history,13
money,13
plan,13
vote,13
talk,12
billions,11
border,11
ago,10
china,10
crime,10
dollars,10
jobs,10
left,10
month,10
votes,10
worst,10
3,9
inflation,9
million,9
2,8
criminals,8
job,8
killed,8
nation,8
person,8
putin,8
russia,8
started,8
time,8
trump,8
abortion,7
afraid,7
destroying,7
election,7
governor,7
happening,7
israel,7
pipeline,7
taliban,7
united,7
1,6
baby,6
care,6
lost,6
obamacare,6
pay,6
rallies,6
read,6
reason,6
tariffs,6
ukraine,6
weak,6
allowed,5
allowing,5
billion,5
bring,5
coming,5
david,5
democrats,5
destroyed,5
energy,5
fired,5
guilty,5
hates,5
horrible,5
leader,5
liberal,5
mayor,5
pandemic,5
sitting,5
towns,5
worse,5
14,4
absolutely,4
agreement,4
anymore,4
ban,4
biggest,4
building,4
call,4
change,4
congress,4
create,4
credit,4
deal,4
debate,4
democracy,4
eating,4
europe,4
finish,4
fire,4
gonna,4
head,4
idea,4
insurance,4
issue,4
ivf,4
killing,4
leave,4
lie,4
loans,4
months,4
nancy,4
nato,4
negotiate,4
ninth,4
paying,4
pelosi,4
pled,4
police,4
policy,4
pouring,4
prices,4
prosecuted,4
question,4
respect,4
respond,4
rid,4
run,4
settled,4
soldiers,4
speech,4
standing,4
terror,4
threat,4
told,4
top,4
understand,4
vice,4
virginia,4
voting,4
washington,4
21,3
52,3
85,3
abdul,3
administration,3
afghanistan,3
america,3
auto,3
bigger,3
bill,3
book,3
business,3
called,3
choice,3
close,3
courage,3
court,3
covered,3
created,3
czar,3
d.c,3
day,3
days,3
dead,3
decline,3
dog,3
donald,3
dying,3
fake,3
fracking,3
germany,3
government,3
hundreds,3
immediately,3
incompetent,3
incredible,3
involved,3
iran,3
kill,3
leaders,3
marxist,3
matter,3
middle,3
military,3
moscow,3
nuclear,3
oil,3
opinion,3
paid,3
pennsylvania,3
pick,3
plants,3
policies,3
private,3
radical,3
remember,3
responsible,3
roof,3
rot,3
save,3
seattle,3
sign,3
solar,3
speak,3
springfield,3
statements,3
stop,3
strong,3
student,3
supreme,3
taking,3
talking,3
television,3
threw,3
times,3
venezuela,3
weaponized,3
weapons,3
win,3
worth,3
wrong,3
yeah,3
york,3
"10,000",2
100,2
12,2
15,2
150,2
2025,2
250,2
28,2
400,2
50,2
75,2
80,2
alabama,2
americans,2
aurora,2
badly,2
beautiful,2
birth,2
black,2
blowing,2
